Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,681,681,14.669,31.0989,31.0989,10000,305151,307199,309247,305151,307199,309247
2,18975,1315,15.202,8.0952,19.59705,20000,299007,305151,309247,76287,79359,80895
3,23584,1919,15.626,3.3661,14.186733333333333,30000,294911,301055,309247,31359,33535,33791
4,16863,2465,16.221,2.0258,11.1465,40000,276479,299007,307199,18559,19583,19967
5,41152,3036,16.465,2.7166,9.46052,50000,266239,296959,307199,22911,24959,26623
6,30959,3573,16.789,2.3594,8.277,60000,245759,294911,307199,23551,23551,23679
7,44642,4114,17.014,1.421,7.297571428571429,70000,234495,286719,307199,13183,13887,14143
8,19762,4565,17.521,1.1572,6.530025,80000,227327,276479,307199,11199,11391,11583
9,51813,5080,17.715,3.0904,6.147844444444444,90000,165887,268287,307199,30335,30719,30847
10,38910,5563,17.973,1.7291,5.70597,100000,79359,266239,305151,16895,17023,17151
11,25062,5987,18.372,2.4826,5.412936363636364,110000,73727,259071,305151,24319,24703,24831
12,81967,6488,18.495,5.89,5.4526916666666665,120000,70143,245759,303103,41727,50687,57343
13,30487,6906,18.824,3.217,5.280715384615385,130000,63487,238591,303103,31615,31871,32127
14,19960,7244,19.325,1.8275,5.034057142857143,140000,59647,234495,303103,14527,16639,18047
15,89285,7717,19.437,1.3741,4.79006,150000,57087,231423,301055,12735,13503,13759
16,37313,8119,19.706,1.2121,4.5664375,160000,54527,227327,301055,11199,11711,12095
17,49751,8539,19.907,2.1733,4.425664705882353,170000,51455,206847,301055,20479,21375,21759
18,29761,8891,20.244,1.5815,4.267655555555556,180000,47359,165887,301055,14783,14975,15615
19,32258,9243,20.555,1.4952,4.121736842105263,190000,43007,94207,301055,13823,14399,14847
20,42016,9618,20.793,2.262,4.02875,200000,35583,79359,299007,20351,20351,22015
21,29411,9936,21.134,2.1053,3.937157142857143,210000,32767,77311,299007,20351,20735,21119
22,24813,10214,21.537,1.8283,3.8413,220000,31743,73727,299007,16895,17151,17407
23,56818,10592,21.714,1.3776,3.734182608695652,230000,31487,73215,299007,12927,13759,13759
24,39840,10926,21.965,2.2073,3.6705625,240000,30847,70143,296959,20607,21247,22015
25,49019,11277,22.169,2.1302,3.608948,250000,30463,65535,296959,18559,19967,21119
26,46296,11614,22.385,2.2347,3.5560923076923077,260000,29695,63487,296959,21503,21759,22271
27,52356,11959,22.576,2.4214,3.5140666666666664,270000,28671,62463,296959,19071,21887,23807
28,63694,12316,22.734,1.2365,3.432725,280000,28031,59647,294911,10687,11583,12287
29,65789,12671,22.886,0.7371,3.3397724137931033,290000,26879,57855,294911,7263,7327,7391
30,99009,13050,22.987,1.0725,3.264196666666667,300000,25599,57087,294911,10687,10751,10751
31,44642,13355,23.211,0.6458,3.179732258064516,310000,24831,55807,292863,5439,5791,6271
32,96153,13725,23.315,2.045,3.144271875,320000,24319,54527,290815,19839,20223,20479
33,48076,14028,23.523,2.3482,3.120148484848485,330000,23679,52735,290815,23167,23423,23551
34,196078,14422,23.574,1.0386,3.058926470588235,340000,23551,51455,288767,9535,9855,10303
35,19120,14524,24.097,1.8827,3.02532,350000,23423,49407,286719,18559,18687,18943
36,93457,14873,24.204,0.7198,2.9612777777777777,360000,23167,47359,284671,6303,7039,7199
37,31645,15089,24.521,1.8562,2.931410810810811,370000,23039,45311,282623,18303,18431,18559
38,51813,15375,24.714,1.77,2.9008473684210525,380000,22655,43007,280575,15615,15999,17279
39,50000,15653,24.914,1.5114,2.8652205128205126,390000,22271,40191,278527,14911,15039,15039
40,31645,15854,25.23,1.6152,2.83397,400000,21887,35583,276479,15935,16063,16127
41,42016,16098,25.469,0.8455,2.785470731707317,410000,21759,33535,274431,6783,7967,8255
42,34843,16306,25.756,1.4506,2.753688095238095,420000,21503,32767,272383,10431,12031,14015
43,51546,16570,25.95,1.2507,2.71873488372093,430000,21375,31999,270335,11647,12415,12543
44,66666,16858,26.1,0.7122,2.673131818181818,440000,21119,31743,270335,6335,6559,7039
45,35211,17055,26.384,0.6361,2.6278644444444446,450000,20991,31615,268287,5503,6079,6271
46,89285,17361,26.496,1.4055,2.6012913043478263,460000,20863,31487,268287,12479,13183,14015
47,81967,17657,26.618,1.7741,2.5836914893617022,470000,20607,31231,268287,17279,17279,17663
48,123456,17977,26.7,2.7538,2.5872354166666667,480000,20991,30847,268287,24959,26367,27391
49,51813,18219,26.894,1.317,2.5613122448979593,490000,20735,30719,268287,11967,12991,13183
50,25380,18323,27.288,0.9173,2.528432,500000,20607,30463,266239,8447,9087,9215
51,52356,18559,27.479,2.3869,2.525656862745098,510000,20735,30207,264191,22399,23423,23807
52,31948,18710,27.792,1.4515,2.505,520000,20607,29695,264191,12479,13823,14463
53,51546,18938,27.986,1.3589,2.483375471698113,530000,20607,29055,262143,13375,13439,13567
54,38314,19116,28.248,0.6482,2.449390740740741,540000,20479,28671,260095,5567,5855,6431
55,54054,19343,28.433,1.5877,2.4337236363636365,550000,20351,28543,259071,12223,14271,15935
56,86956,19616,28.548,2.0646,2.427132142857143,560000,20351,28031,257023,19327,19583,20479
57,43103,19805,28.78,1.3364,2.40799649122807,570000,20223,27775,254975,12223,12735,13247
58,46511,20003,28.995,1.4894,2.392158620689655,580000,20223,27263,251903,13183,13951,14783
59,69930,20248,29.138,0.5724,2.361315254237288,590000,20095,26751,248831,5375,5535,5695
60,43290,20429,29.369,0.443,2.3293433333333335,600000,19967,26239,245759,4063,4383,4447
61,30120,20537,29.702,1.0827,2.3089065573770493,610000,19839,25855,242687,8447,9471,10687
62,30211,20643,30.033,1.515,2.2961016129032257,620000,19711,25343,240639,12479,12927,14783
63,51546,20840,30.229,1.6344,2.2855984126984126,630000,19583,24959,238591,15807,15935,16063
64,28011,20923,30.587,2.5238,2.2893203125,640000,19711,24831,238591,23551,24319,24319
65,34013,21047,30.882,1.1551,2.271870769230769,650000,19583,24703,238591,11071,11199,11455
66,50251,21234,31.081,1.8134,2.2649242424242426,660000,19583,24447,237567,14975,16895,18047
67,40322,21385,31.329,1.2042,2.249092537313433,670000,19455,24319,237567,11839,12031,12031
68,47393,21559,31.54,1.1037,2.232248529411765,680000,19327,24319,237567,9791,10559,10943
69,16920,21474,32.131,1.5927,2.2229797101449273,690000,19327,24063,236543,13055,14719,15743
70,30120,21563,32.463,1.6615,2.2149585714285713,700000,19199,23807,234495,15999,16511,16639
71,47169,21729,32.675,2.2001,2.2147492957746477,710000,19455,23679,233471,20479,21631,22015
72,34013,21838,32.969,0.743,2.1943083333333333,720000,19327,23551,233471,7103,7199,7359
73,44642,21992,33.193,1.3886,2.1832712328767125,730000,19327,23551,232447,13567,13695,13887
74,84033,22214,33.312,0.4719,2.1601445945945947,740000,19199,23551,231423,4607,4703,4735
75,40650,22349,33.558,1.517,2.1515693333333332,750000,19071,23551,231423,14591,14847,15103
76,19417,22305,34.073,1.1893,2.138907894736842,760000,18943,23423,230399,9663,11071,11903
77,43478,22447,34.303,1.9559,2.136531168831169,770000,18943,23295,229375,18047,18815,19583
78,47393,22599,34.514,0.56,2.1163192307692307,780000,18815,23295,229375,5343,5535,5599
79,50000,22757,34.714,0.8499,2.1002886075949365,790000,18815,23167,228351,6495,7391,8255
80,22172,22749,35.165,2.0521,2.09968625,800000,18943,23039,227327,20223,20351,20351
81,33898,22842,35.46,2.2962,2.1021123456790125,810000,18943,23039,224255,19455,21503,22783
82,46082,22983,35.677,1.0327,2.089070731707317,820000,18815,23039,221183,8575,9471,10175
83,87719,23190,35.791,1.3354,2.079990361445783,830000,18815,22911,216063,12607,13311,13375
84,41322,23311,36.033,1.5136,2.0732476190476192,840000,18815,22655,211967,14783,15167,15167
85,23640,23315,36.457,1.4907,2.0663941176470586,850000,18687,22655,206847,14463,14655,14911
86,39840,23428,36.708,1.996,2.0655755813953487,860000,18815,22399,201727,19839,19839,19967
87,31948,23500,37.021,1.9051,2.0637310344827586,870000,18815,22271,196607,13439,16063,18559
88,44642,23627,37.245,2.9035,2.0732738636363637,880000,18943,22911,187391,27391,27775,28543
89,454545,23881,37.268,1.1441,2.0628337078651686,890000,18815,22783,177151,10943,11263,11391
90,44843,24005,37.491,1.8815,2.060818888888889,900000,18815,22655,165887,16255,18047,18815
91,41666,24117,37.732,1.8513,2.0585164835164833,910000,18815,22527,154623,17279,18303,18559
92,86956,24308,37.847,1.4862,2.052295652173913,920000,18687,22399,142335,14015,14271,14719
93,106382,24511,37.941,2.5149,2.0572698924731183,930000,18815,22399,129023,22271,23423,24831
94,37313,24600,38.21,2.3682,2.0605776595744683,940000,18943,22527,112639,22271,23039,23551
95,44642,24717,38.434,2.24,2.062466315789474,950000,19071,22399,94207,22015,22015,22143
96,32573,24779,38.741,0.7448,2.048740625,960000,18943,22399,81407,7199,7295,7455
97,24390,24775,39.151,0.8067,2.035936082474227,970000,18943,22271,79871,6335,7199,7871
98,23980,24767,39.568,0.9198,2.02454693877551,980000,18943,22271,79871,7487,7839,9215
99,46728,24885,39.782,0.537,2.009521212121212,990000,18815,22143,79871,4927,5151,5375
100,24096,24877,40.197,1.5655,2.005081,1000000,18815,22143,79359,13759,14783,15487
101,63291,25027,40.355,1.1207,1.9963247524752474,1010000,18815,22015,79359,10623,10879,11199
102,29498,25064,40.695,0.7259,1.9838696078431373,1020000,18687,22015,78847,6047,6239,7263
103,113636,25255,40.783,1.021,1.974521359223301,1030000,18687,22015,78335,8767,9791,10175
104,34246,25319,41.075,1.4659,1.9696307692307693,1040000,18559,22015,77823,14527,14655,14655
105,25510,25321,41.467,1.1977,1.9622790476190477,1050000,18559,21887,77311,10047,11391,11967
106,66225,25469,41.618,1.0855,1.9540075471698113,1060000,18559,21887,76287,10303,10431,10815
107,52356,25591,41.81,2.1985,1.956292523364486,1070000,18687,21887,75775,20991,21759,22015
108,90090,25762,41.921,0.4233,1.942098148148148,1080000,18559,21887,74751,3823,4127,4223
109,63291,25903,42.079,1.4372,1.9374660550458715,1090000,18559,21759,74239,12287,13311,14207
110,33444,25956,42.378,1.0444,1.9293472727272727,1100000,18559,21759,73727,9855,10047,10431
111,30030,25988,42.711,0.602,1.9173891891891892,1110000,18431,21759,73727,5887,5919,5983
112,31545,26029,43.028,0.9733,1.9089598214285715,1120000,18431,21631,73727,9343,9471,9663
113,25839,26027,43.415,1.359,1.9040929203539823,1130000,18431,21631,73215,12031,13119,13567
114,44642,26123,43.639,1.342,1.8991622807017543,1140000,18431,21631,73215,12799,13183,13375
115,34602,26179,43.928,0.7838,1.8894634782608695,1150000,18303,21503,73215,7551,7679,7775
116,67567,26318,44.076,0.525,1.8777008620689655,1160000,18303,21503,73215,4543,4735,5055
117,55555,26437,44.256,0.7284,1.8678777777777777,1170000,18303,21503,71679,5951,6527,7295
118,46728,26534,44.47,1.5449,1.8651406779661017,1180000,18175,21375,71167,10815,12543,14975
119,83333,26686,44.591,2.6982,1.8721411764705882,1190000,18431,21759,70655,25471,26111,26495
120,30395,26714,44.92,1.1301,1.8659575,1200000,18303,21631,70143,10751,11071,11263
121,32258,26752,45.23,1.4973,1.862910743801653,1210000,18303,21631,69631,12863,13951,14719
122,36630,26811,45.503,0.7216,1.853555737704918,1220000,18303,21631,68607,6911,7071,7135
123,28653,26825,45.852,2.1997,1.8563699186991869,1230000,18303,21631,68095,20223,20479,21887
124,35714,26879,46.132,1.1035,1.8502983870967742,1240000,18303,21503,66559,9599,9983,10879
125,67567,27009,46.28,1.3675,1.846436,1250000,18303,21503,65535,9599,11775,13375
126,55248,27119,46.461,2.0843,1.8483238095238095,1260000,18303,21503,64255,20479,20735,20863
127,34602,27165,46.751,1.8883,1.8486385826771654,1270000,18303,21375,63999,18303,18559,18559
128,38759,27228,47.009,0.596,1.83885234375,1280000,18303,21375,63487,5823,5951,5983
129,44052,27308,47.238,0.5857,1.829137984496124,1290000,18303,21247,63487,5247,5471,5759
130,47846,27398,47.447,0.7352,1.8207230769230769,1300000,18175,21247,63487,5535,6431,7167
131,69444,27526,47.591,4.2772,1.8394748091603053,1310000,18431,21887,62975,39679,41215,42495
132,26385,27517,47.97,1.588,1.837569696969697,1320000,18431,21759,62975,15551,15743,15871
133,34129,27557,48.263,0.535,1.827775939849624,1330000,18303,21759,62719,4479,5311,5343
134,37878,27613,48.527,1.0792,1.822189552238806,1340000,18303,21759,62463,9471,9535,10623
135,62893,27728,48.686,1.4121,1.819151851851852,1350000,18303,21759,62463,12543,13567,14015
136,55555,27831,48.866,1.2489,1.8149588235294118,1360000,18303,21631,61695,11839,12031,12415
137,35335,27874,49.149,1.1305,1.8099627737226278,1370000,18303,21631,61183,10175,10623,11327
138,65359,27990,49.303,0.8137,1.8027434782608696,1380000,18175,21631,60671,7647,7967,8159
139,48780,28075,49.509,1.2059,1.7984496402877699,1390000,18175,21503,60159,10623,11647,11839
140,58479,28180,49.68,0.8353,1.79157,1400000,18175,21503,59647,8319,8383,8383
141,19011,28084,50.206,1.4633,1.789241843971631,1410000,18047,21503,58879,12351,14015,14399
142,40650,28145,50.452,1.2241,1.785261971830986,1420000,18047,21375,58623,7167,9791,11775
143,31645,28166,50.769,1.6185,1.7840958041958042,1430000,18047,21375,58111,14975,15871,16127
144,49504,28251,50.971,0.6341,1.7761097222222222,1440000,17919,21247,58111,6079,6239,6335
145,27855,28248,51.33,0.9037,1.7700931034482759,1450000,17919,21247,57855,8895,9023,9023
146,25706,28229,51.719,2.2025,1.773054794520548,1460000,17919,21247,57599,18559,20735,21887
147,49261,28311,51.923,0.5944,1.7650367346938776,1470000,17791,21119,57343,5855,5919,5951
148,32051,28333,52.235,0.858,1.7589081081081082,1480000,17791,21119,57343,4959,6079,8095
149,71942,28449,52.374,2.4238,1.7633704697986576,1490000,17791,21119,57087,21631,23167,24191
150,48076,28526,52.582,0.6512,1.755956,1500000,17791,21119,57087,3503,4703,6143
151,34965,28561,52.868,1.047,1.7512609271523178,1510000,17663,21119,56831,8831,10111,10431
152,53191,28648,53.056,1.6397,1.7505269736842106,1520000,17663,20991,56575,15999,15999,16063
153,31645,28666,53.372,0.5535,1.742703267973856,1530000,17663,20991,56319,5151,5215,5471
154,42735,28728,53.606,1.9313,1.743927922077922,1540000,17663,20863,56063,18815,19327,19327
155,31645,28745,53.922,0.7534,1.7375374193548387,1550000,17535,20863,55807,5599,6463,7359
156,86206,28868,54.038,0.5075,1.7296525641025642,1560000,17535,20863,55551,3967,4479,4927
157,54347,28955,54.222,0.7007,1.7230987261146498,1570000,17535,20863,55295,6815,6975,7007
158,44843,29020,54.445,1.1943,1.719751898734177,1580000,17407,20735,55039,11583,11903,11967
159,61728,29116,54.608,0.5155,1.7121779874213836,1590000,17407,20735,54527,4703,4831,5119
160,33112,29138,54.91,0.592,1.705176875,1600000,17407,20735,54527,5663,5727,5919
161,46082,29205,55.127,0.6295,1.698495652173913,1610000,17279,20735,54271,6047,6111,6239
162,50761,29282,55.324,1.4959,1.697245061728395,1620000,17279,20607,53759,7583,11647,14335
163,24752,29249,55.728,1.5588,1.6963957055214725,1630000,17151,20607,53503,15359,15423,15487
164,45871,29313,55.946,1.9278,1.697806707317073,1640000,17151,20607,52991,16063,17535,18815
165,64102,29410,56.102,1.6639,1.697601212121212,1650000,17151,20607,52735,13183,14783,16383
166,46296,29474,56.319,0.9764,1.693256626506024,1660000,17151,20479,52479,9087,9087,9471
167,22831,29423,56.757,2.0074,1.6951377245508983,1670000,17151,20479,52223,18815,18815,20095
168,81300,29535,56.88,2.2011,1.6981494047619048,1680000,17151,20479,51967,15551,18943,21503
169,51020,29609,57.076,2.9739,1.705698224852071,1690000,17279,20607,51711,27135,28671,29695
170,30674,29615,57.402,1.1469,1.7024111764705883,1700000,17279,20607,51455,9983,10623,11519
171,16103,29470,58.024,1.4535,1.7009555555555556,1710000,17151,20607,50943,13567,14399,14527
172,37593,29507,58.291,1.5061,1.6998226744186047,1720000,17151,20479,50687,14207,14591,14911
173,48780,29574,58.496,2.6802,1.7054895953757225,1730000,17151,20607,50175,22783,25471,26879
174,43478,29629,58.726,0.7159,1.6998022988505748,1740000,17151,20607,49663,6335,6655,7071
175,59171,29713,58.895,1.8468,1.7006422857142858,1750000,17151,20479,49407,16767,17279,18303
176,50505,29783,59.093,0.9553,1.6964073863636364,1760000,17151,20479,48895,7743,8511,9407
177,41841,29832,59.332,1.9464,1.6978197740112995,1770000,17151,20479,48383,19455,19455,19583
178,53191,29905,59.52,0.5655,1.6914584269662922,1780000,17151,20479,48127,5151,5279,5567
179,102040,30024,59.618,0.7342,1.6861106145251397,1790000,17151,20479,47871,7263,7327,7359
180,56497,30102,59.796,0.7621,1.6809772222222221,1800000,17023,20479,47359,6719,7199,7551
181,29069,30096,60.14,0.8881,1.6765966850828729,1810000,17023,20479,47103,8639,8895,8895
182,51020,30164,60.336,0.5316,1.6703054945054945,1820000,17023,20479,46847,4831,4959,5343
183,23529,30118,60.761,2.0458,1.6723573770491804,1830000,17023,20479,46591,19455,20479,20479
184,27322,30101,61.127,1.6022,1.6719760869565217,1840000,17023,20479,46079,11455,13695,15743
185,142857,30230,61.197,1.952,1.6734897297297298,1850000,17023,20479,45311,14783,17279,19199
186,90909,30339,61.307,1.7615,1.6739629032258065,1860000,17023,20479,45055,16895,17407,17663
187,41152,30381,61.55,1.3645,1.6723080213903743,1870000,16895,20351,44543,13055,13631,13631
188,48309,30441,61.758,1.4567,1.671161170212766,1880000,16895,20351,44031,12479,13311,14399
189,29069,30433,62.102,1.5067,1.6702910052910054,1890000,16895,20351,43519,14911,15039,15103
190,54945,30505,62.284,1.8071,1.671011052631579,1900000,16895,20351,43007,15551,17023,17791
191,37313,30534,62.552,2.1957,1.6737581151832461,1910000,16895,20351,42751,19455,20991,21887
192,96153,30643,62.656,0.7923,1.6691671875,1920000,16895,20351,42751,6687,7487,7903
193,68027,30731,62.803,0.717,1.6642336787564767,1930000,16895,20351,42495,6687,6751,6879
194,94339,30838,62.909,0.6889,1.6592061855670104,1940000,16767,20351,42239,5439,6271,6687
195,36630,30863,63.182,1.2923,1.6573246153846153,1950000,16767,20223,42239,10367,11583,12735
196,46082,30915,63.399,1.183,1.6549045918367347,1960000,16767,20223,41983,10687,11199,11775
197,34722,30932,63.687,1.2087,1.6526395939086294,1970000,16639,20223,41727,10751,11455,12031
198,90090,31034,63.799,0.8925,1.648800505050505,1980000,16639,20223,41471,8639,8767,8895
199,46296,31086,64.015,1.5755,1.64843216080402,1990000,16511,20223,41215,12735,14143,15487
200,43103,31129,64.247,1.1369,1.6458745,2000000,16511,20223,40959,10111,10175,11327
201,31746,31132,64.562,2.4431,1.6498407960199004,2010000,16639,20351,40703,22015,22911,24191
202,30303,31128,64.892,1.7813,1.6504915841584158,2020000,16767,20223,40447,17663,17919,17919
203,45045,31176,65.114,0.7661,1.646134975369458,2030000,16767,20223,40191,6719,7327,7583
204,113636,31287,65.202,0.9939,1.6429377450980391,2040000,16767,20223,39935,9023,9791,9919
205,38910,31317,65.459,1.0164,1.6398814634146341,2050000,16767,20223,39679,8767,9215,9215
206,57803,31386,65.633,1.1767,1.637633009708738,2060000,16639,20223,39679,8831,10431,11583
207,52356,31447,65.825,3.5074,1.6466657004830918,2070000,16767,20351,39423,34815,35071,35327
208,30674,31443,66.151,1.1323,1.6441927884615384,2080000,16767,20351,39423,10239,10239,11263
209,44444,31486,66.377,1.5859,1.6439138755980862,2090000,16767,20351,39423,14271,15487,15807
210,45248,31532,66.598,2.2277,1.6466938095238095,2100000,16767,20351,39423,21247,21759,22143
211,47169,31582,66.81,1.202,1.6445862559241706,2110000,16767,20351,39423,11199,11391,11839
212,96153,31682,66.914,1.0074,1.6415806603773584,2120000,16767,20351,39423,8575,9215,9727
213,39370,31711,67.168,1.0126,1.6386276995305165,2130000,16639,20223,39423,7551,8703,9855
214,34722,31724,67.456,1.2555,1.63683738317757,2140000,16639,20223,39423,11903,12351,12543
215,30395,31717,67.785,0.9826,1.6337944186046511,2150000,16639,20223,39423,8959,9407,9727
216,20080,31633,68.283,1.2305,1.6319273148148148,2160000,16511,20223,39423,9919,11327,12159
217,43478,31672,68.513,1.0199,1.6291069124423962,2170000,16511,20223,39167,9727,9919,10111
218,45454,31716,68.733,2.0625,1.6310949541284403,2180000,16511,20223,39167,19583,20095,20479
219,33003,31722,69.036,1.1854,1.6290598173515982,2190000,16511,20223,39167,11263,11455,11903
220,23474,31671,69.462,2.0591,1.6310145454545455,2200000,16639,20223,38911,19839,20223,20607
221,99009,31769,69.563,0.4239,1.6255524886877828,2210000,16639,20223,38911,3439,3791,4159
222,38167,31793,69.825,1.1683,1.6234927927927927,2220000,16639,20223,38911,9663,11007,11519
223,121951,31899,69.907,1.5958,1.623368609865471,2230000,16511,20223,38655,8831,12735,15359
224,45662,31942,70.126,2.6038,1.6277455357142858,2240000,16639,20223,38399,21119,23935,25727
225,204081,32062,70.176,1.5174,1.627255111111111,2250000,16511,20223,38399,14463,14719,15103
226,29325,32049,70.517,1.5668,1.626987610619469,2260000,16511,20223,38399,13311,14399,15423
227,33333,32054,70.817,1.2518,1.6253348017621145,2270000,16511,20095,38399,12415,12479,12543
228,32154,32054,71.128,1.0328,1.6227359649122808,2280000,16383,20095,38399,8703,9599,10239
229,19011,31959,71.654,1.1042,1.6204716157205241,2290000,16383,20095,38399,10943,11071,11071
230,33670,31966,71.951,1.5557,1.62019,2300000,16319,20095,38143,11327,13311,15167
231,42372,32000,72.187,1.323,1.6189034632034631,2310000,16319,20095,38143,12223,12927,13183
232,46948,32044,72.4,2.2871,1.6217836206896552,2320000,16383,20095,38143,19967,21503,22655
233,60240,32108,72.566,0.9049,1.6187068669527898,2330000,16319,20095,37887,8767,9023,9087
234,31055,32103,72.889,3.5858,1.627113247863248,2340000,16383,20095,37887,31487,34303,35583
235,35460,32116,73.171,1.8976,1.6282642553191489,2350000,16383,20095,37631,13823,16767,18687
236,68965,32189,73.316,0.8397,1.6249228813559322,2360000,16383,20095,37631,7775,7807,8319
237,56497,32247,73.493,0.7699,1.6213151898734177,2370000,16319,20095,37375,6943,7615,7711
238,33003,32251,73.796,1.0116,1.6187533613445377,2380000,16255,20095,37375,10111,10111,10175
239,90090,32337,73.907,1.1748,1.6168958158995816,2390000,16255,20095,37375,10303,11199,11647
240,41493,32367,74.148,0.7232,1.6131720833333334,2400000,16191,19967,37119,6335,7231,7231
241,44052,32403,74.375,0.911,1.6102585062240664,2410000,16127,19967,37119,8511,8831,9151
242,31948,32401,74.688,1.4937,1.6097768595041322,2420000,16127,19967,37119,12031,13695,14719
243,31152,32396,75.009,0.7441,1.606214403292181,2430000,16063,19967,36863,6367,6879,7359
244,23752,32347,75.431,1.0925,1.6041090163934426,2440000,16063,19967,36863,10495,10687,10943
245,44444,32383,75.656,1.5806,1.6040130612244898,2450000,16063,19967,36607,11519,13823,15423
246,31746,32380,75.971,1.9623,1.605469512195122,2460000,16063,19839,36607,14911,17407,19327
247,30864,32374,76.295,1.0393,1.6031773279352226,2470000,15999,19839,36607,9983,10111,10303
248,52910,32425,76.484,1.0633,1.6010004032258065,2480000,15999,19839,36351,9023,9471,10431
249,37174,32441,76.753,1.8021,1.601808032128514,2490000,15999,19839,36351,14079,16191,17663
250,37313,32458,77.021,1.7105,1.6022428,2500000,15999,19839,36351,16191,16255,17151
251,62500,32520,77.181,1.2446,1.6008179282868527,2510000,15999,19839,36351,12415,12415,12479
252,34364,32527,77.472,0.7709,1.597524603174603,2520000,15999,19839,36351,6847,7487,7647
253,41666,32556,77.712,1.4645,1.596998814229249,2530000,15935,19711,36351,14527,14655,14655
254,45871,32593,77.93,0.4736,1.5925759842519684,2540000,15935,19711,36351,4607,4703,4767
255,47619,32633,78.14,0.5188,1.5883650980392157,2550000,15935,19711,36351,4991,5119,5215
256,53475,32683,78.328,0.787,1.585234765625,2560000,15935,19711,36351,6975,7199,7679
257,28490,32664,78.679,0.659,1.581630739299611,2570000,15871,19711,36351,6271,6399,6559
258,48543,32705,78.885,0.9438,1.579158527131783,2580000,15871,19711,36351,8191,9343,9407
259,62893,32766,79.044,1.8736,1.5802953667953668,2590000,15871,19711,36095,16895,18303,18815
260,55865,32818,79.223,1.0524,1.578265,2600000,15871,19583,35839,8831,9471,10239
261,42372,32847,79.459,2.5725,1.5820743295019157,2610000,15935,19839,35839,25599,25727,25727
262,31055,32839,79.781,1.0455,1.5800263358778626,2620000,15935,19839,35583,9151,9791,10367
263,48543,32880,79.987,3.4173,1.5870121673003803,2630000,15999,19967,35583,31487,33023,34047
264,23696,32832,80.409,0.7386,1.583798484848485,2640000,15999,19967,35327,7167,7327,7391
265,33898,32836,80.704,0.5995,1.5800841509433963,2650000,15999,19967,35327,5663,5983,6015
266,39682,32857,80.956,0.6977,1.576766917293233,2660000,15999,19967,35327,6815,6911,7007
267,62893,32915,81.116,1.0909,1.574947191011236,2670000,15935,19967,35071,10175,10815,10943
268,82644,32989,81.237,1.143,1.573335447761194,2680000,15935,19839,35071,11071,11263,11455
269,66666,33051,81.387,1.9132,1.5745988847583643,2690000,15935,19839,35071,13631,16511,18687
270,27173,33025,81.755,1.5539,1.5745222222222222,2700000,15935,19839,35071,14079,14591,14591
271,24449,32982,82.164,2.5007,1.577939852398524,2710000,15935,19967,35071,23679,24063,24959
272,59171,33036,82.333,1.0484,1.5759930147058823,2720000,15935,19967,35071,9343,10239,10495
273,44444,33067,82.558,0.9185,1.5735846153846154,2730000,15935,19839,35071,9023,9087,9215
274,51813,33111,82.751,0.758,1.5706080291970803,2740000,15871,19839,35071,5151,6495,7391
275,43290,33139,82.982,1.2324,1.5693781818181818,2750000,15871,19839,34815,12031,12351,12351
276,22935,33086,83.418,1.1765,1.5679547101449276,2760000,15871,19839,34815,10111,10815,11583
277,20833,33016,83.898,1.3753,1.5672592057761734,2770000,15807,19839,34815,12031,12479,13631
278,40160,33037,84.147,0.5345,1.5635442446043166,2780000,15807,19839,34559,4575,5055,5343
279,25380,33001,84.541,1.2498,1.5624197132616486,2790000,15807,19839,34559,11263,11967,12543
280,84745,33073,84.659,0.4783,1.558547857142857,2800000,15743,19711,34559,4703,4735,4799
281,41493,33097,84.9,0.8255,1.5559391459074734,2810000,15743,19711,34559,7039,7551,8095
282,92592,33173,85.008,0.9216,1.5536897163120567,2820000,15743,19711,34303,8319,8639,9023
